75,NECHI,1,2021-03-30 20:38:11,2021-03-30 20:38:11
76,OLAYA,1,2021-03-31 20:38:11,2021-03-31 20:38:11
77,PEÐOL,1,2021-04-01 20:38:11,2021-04-01 20:38:11
78,PEQUE,1,2021-04-02 20:38:11,2021-04-02 20:38:11
79,PUEBLORRICO,1,2021-04-03 20:38:11,2021-04-03 20:38:11
80,PUERTO BERRIO,1,2021-04-04 20:38:11,2021-04-04 20:38:11
81,PUERTO NARE,1,2021-04-05 20:38:11,2021-04-05 20:38:11
82,PUERTO TRIUNFO,1,2021-04-06 20:38:11,2021-04-06 20:38:11
83,REMEDIOS,1,2021-04-07 20:38:11,2021-04-07 20:38:11
84,RETIRO,1,2021-04-08 20:38:11,2021-04-08 20:38:11
85,RIONEGRO,1,2021-04-09 20:38:11,2021-04-09 20:38:11
86,SABANALARGA,1,2021-04-10 20:38:11,2021-04-10 20:38:11
87,SABANETA,1,2021-04-11 20:38:11,2021-04-11 20:38:11
88,SALGAR,1,2021-04-12 20:38:11,2021-04-12 20:38:11
89,SAN ANDRES DE CUERQUIA,1,2021-04-13 20:38:11,2021-04-13 20:38:11
90,SAN CARLOS,1,2021-04-14 20:38:11,2021-04-14 20:38:11
91,SAN FRANCISCO,1,2021-04-15 20:38:11,2021-04-15 20:38:11
92,SAN JERONIMO,1,2021-04-16 20:38:11,2021-04-16 20:38:11
93,SAN JOSE DE LA MONTAÑA,1,2021-04-17 20:38:11,2021-04-17 20:38:11
94,SAN JUAN DE URABA,1,2021-04-18 20:38:11,2021-04-18 20:38:11
95,SAN LUIS,1,2021-04-19 20:38:11,2021-04-19 20:38:11
96,SAN PEDRO,1,2021-04-20 20:38:11,2021-04-20 20:38:11
97,SAN PEDRO DE URABA,1,2021-04-21 20:38:11,2021-04-21 20:38:11
98,SAN RAFAEL,1,2021-04-22 20:38:11,2021-04-22 20:38:11
99,SAN ROQUE,1,2021-04-23 20:38:11,2021-04-23 20:38:11
100,SAN VICENTE,1,2021-04-24 20:38:11,2021-04-24 20:38:11
101,SANTA BARBARA,1,2021-04-25 20:38:11,2021-04-25 20:38:11
102,SANTA ROSA DE OSOS,1,2021-04-26 20:38:11,2021-04-26 20:38:11
103,SANTO DOMINGO,1,2021-04-27 20:38:11,2021-04-27 20:38:11
104,EL SANTUARIO,1,2021-04-28 20:38:11,2021-04-28 20:38:11
105,SEGOVIA,1,2021-04-29 20:38:11,2021-04-29 20:38:11
106,SONSON,1,2021-04-30 20:38:11,2021-04-30 20:38:11
107,SOPETRAN,1,2021-05-01 20:38:11,2021-05-01 20:38:11
108,TAMESIS,1,2021-05-02 20:38:11,2021-05-02 20:38:11
109,TARAZA,1,2021-05-03 20:38:11,2021-05-03 20:38:11
110,TARSO,1,2021-05-04 20:38:11,2021-05-04 20:38:11
111,TITIRIBI,1,2021-05-05 20:38:11,2021-05-05 20:38:11
112,TOLEDO,1,2021-05-06 20:38:11,2021-05-06 20:38:11
113,TURBO,1,2021-05-07 20:38:11,2021-05-07 20:38:11
114,URAMITA,1,2021-05-08 20:38:11,2021-05-08 20:38:11
115,URRAO,1,2021-05-09 20:38:11,2021-05-09 20:38:11
116,VALDIVIA,1,2021-05-10 20:38:11,2021-05-10 20:38:11
117,VALPARAISO,1,2021-05-11 20:38:11,2021-05-11 20:38:11
118,VEGACHI,1,2021-05-12 20:38:11,2021-05-12 20:38:11
119,VENECIA,1,2021-05-13 20:38:11,2021-05-13 20:38:11
120,VIGIA DEL FUERTE,1,2021-05-14 20:38:11,2021-05-14 20:38:11
121,YALI,1,2021-05-15 20:38:11,2021-05-15 20:38:11
122,YARUMAL,1,2021-05-16 20:38:11,2021-05-16 20:38:11
123,YOLOMBO,1,2021-05-17 20:38:11,2021-05-17 20:38:11
